(3541,0)
(0,0)
(0,0)
(0,4783)
(0,3975)
(0,0)
(8491,0)
(0,0)
(0,0)
(441,210)
(25,86)
(0,0)
(0,882)
(419,955)
(0,4761)
(3430,0)
(0,0)
(0,0)
(7698,0)
(0,8749)
(391,161)
(134,872)
(0,0)
(0,255)
(0,0)
(0,3269)
(7999,0)
(0,306)
(638,851)
(0,5633)
(5237,0)
(0,0)
(650,0)
(294,134)
(0,0)
(4991,0)
(6145,0)
(0,0)
(142,428)
(5157,0)
(0,0)
(0,2328)
(0,0)
(8019,0)
(1325,0)
(1150,0)
(9819,0)
(0,0)
(0,0)
(0,4030)
(0,8493)
(0,0)
(0,0)
(1560,0)
(0,0)
(8861,0)
(0,0)
(5926,0)
(0,0)
(5428,0)
(7420,0)
(3636,0)
(2563,0)
(0,3952)
(0,0)
(6418,0)
(5951,0)
(932,606)
(4546,0)
(0,0)
(7375,0)
(0,2645)
(0,0)
(0,0)
(5497,0)
(0,0)
(0,1255)
(917,72)
(0,0)
(2857,0)
(738,602)
(0,0)
(0,4197)
(0,7639)
(612,644)
(0,8373)
(0,0)
(0,0)
(2214,0)
(206,189)
(292,0)
(0,7003)
(8601,0)
(795,101)
(0,9533)
(8488,0)
(0,9149)
(7957,0)
(0,327)
(156,529)
