(396,14)
(399,388)
(0,0)
(4859,0)
(0,9760)
(4149,0)
(546,904)
(8306,0)
(295,0)
(0,6212)
(0,0)
(7642,0)
(0,432)
(502,622)
(0,0)
(0,0)
(0,7844)
(0,0)
(854,361)
(0,0)
(0,0)
(9263,0)
(3443,0)
(6455,0)
(8784,0)
(4759,0)
(5785,0)
(5819,0)
(1251,0)
(2745,0)
(0,0)
(0,423)
(0,2544)
(7657,0)
(202,922)
(0,4241)
(0,2504)
(0,0)
(0,0)
(0,623)
(0,5639)
(0,0)
(408,583)
(0,0)
(207,566)
(0,0)
(3786,0)
(333,872)
(0,2585)
(0,0)
(0,0)
(7376,0)
(8690,0)
(327,150)
(0,0)
(595,265)
(0,0)
(113,203)
(0,0)
(0,6722)
(242,498)
(0,8100)
(0,0)
(873,529)
(0,2175)
(0,6197)
(4076,0)
(8970,0)
(0,8653)
(0,9523)
(4268,0)
(0,0)
(632,648)
(0,7608)
(0,8878)
(61,326)
(1740,0)
(10,367)
(621,21)
(0,0)
(9692,0)
(241,0)
(8856,0)
(7710,0)
(686,635)
(0,2748)
(0,0)
(588,682)
(0,0)
(238,834)
(0,0)
(0,0)
(3285,0)
(7550,0)
(0,1871)
(0,0)
(933,238)
(0,8679)
(0,8907)
(0,0)
