(0,1520)
(0,9189)
(858,598)
(4254,0)
(0,417)
(599,787)
(0,0)
(0,0)
(9269,0)
(7522,0)
(473,555)
(0,2713)
(0,0)
(428,50)
(88,117)
(182,683)
(3216,0)
(0,0)
(626,0)
(0,1546)
(0,0)
(413,0)
(801,28)
(567,588)
(0,0)
(0,1291)
(9958,0)
(0,0)
(39,0)
(719,331)
(943,543)
(0,2217)
(0,5214)
(8,321)
(578,857)
(0,861)
(724,821)
(585,662)
(122,0)
(0,0)
(0,2441)
(1980,0)
(0,5553)
(0,2882)
(182,932)
(816,392)
(0,9938)
(2375,0)
(0,0)
(0,6255)
(51,193)
(229,0)
(1504,0)
(0,0)
(0,841)
(0,8933)
(0,3481)
(0,0)
(7439,0)
(459,273)
(8050,0)
(0,0)
(8665,0)
(333,0)
(0,0)
(1823,0)
(0,0)
(281,945)
(249,290)
(671,931)
(0,5388)
(0,0)
(0,1312)
(0,0)
(2056,0)
(9279,0)
(0,7668)
(0,0)
(0,452)
(0,520)
(773,531)
(917,0)
(808,264)
(8471,0)
(0,6964)
(0,0)
(4947,0)
(468,574)
(1,0)
(4376,0)
(0,2928)
(0,3628)
(0,0)
(847,832)
(0,0)
(592,682)
(0,0)
(0,7204)
(0,0)
(878,188)
